ClaimID,PolicyNumber,ClaimDate,ClaimAmount,ClaimStatus,ClaimType,IncidentLocation,ClaimDescription,AdjusterID
477,PN000491,2023-01-11,50747.07,Denied,Vehicle,Lake Morgan,First describe century reveal it war mission town stuff service future thus rather together woman.,2
478,PN000157,2023-10-14,11138.21,Denied,Vehicle,Bernardstad,Tv design program next wrong newspaper fight trial participant accept reality hotel.,14
479,PN000357,2023-02-27,80194.18,Denied,Property,Mccormickbury,Reason gas above area interest modern soon coach step end.,11
480,PN000057,2022-01-02,14810.43,Denied,Property,West Margaret,Method impact seat minute everyone every build according heavy station.,29
481,PN000250,2023-12-31,48122.48,Denied,Health,Victormouth,What young degree mention real institution usually energy fear amount artist notice.,13
482,PN000439,2022-06-25,33391.79,Denied,Health,Brucefort,Talk home heart data within own present president its accept close increase hold let while must.,3
483,PN000079,2023-03-22,60477.66,Pending,Health,Randallbury,Employee gas light poor manager dog area wall color too answer order line bad accept.,28
484,PN000216,2022-05-12,91384.61,Approved,Vehicle,Mayville,Affect situation capital value ten participant gas themselves can but heavy wall.,8
485,PN000085,2023-04-24,29267.26,Approved,Vehicle,New Sandy,Account soon fund little different be fine practice life whole white member identify paper number war.,8
486,PN000178,2022-09-16,38121.22,Pending,Health,Port Keith,Eye young nation hand hot behind sign once film performance well hit thing your.,8
487,PN000254,2022-06-19,4912.29,Approved,Vehicle,West Travis,Group capital moment authority quality protect investment reason safe president.,22
488,PN000206,2023-04-25,14049.75,Pending,Vehicle,Ferrellhaven,Often change many through tough dark market myself pay point participant agree national common network many.,16
489,PN000406,2022-05-23,61999.58,Denied,Health,Katietown,Popular budget which agree former type six realize science series like among it industry population home.,13
490,PN000110,2022-03-05,54814.48,Pending,Property,Brandonburgh,Late education Congress national city subject consider cover reason.,9
491,PN000134,2023-11-03,18209.65,Pending,Health,New Donald,Attack marriage off simply also single skin give company blue there nice tree away current.,26
492,PN000405,2023-09-22,55061.36,Approved,Health,Stephanieville,Up work different will get east third game new.,22
493,PN000117,2023-10-07,3581.65,Approved,Vehicle,Tammyburgh,Perhaps subject firm evidence institution computer ten particular really usually across suggest stock plant over.,4
494,PN000224,2023-04-20,77963.6,Approved,Vehicle,Jamesville,Deep indicate international fact financial quite everyone radio enjoy available upon young spring picture piece mission.,28
495,PN000169,2023-12-13,75401.51,Pending,Health,East Gina,Property might inside cup onto need with treatment too successful girl.,14
496,PN000225,2022-06-18,65752.88,Pending,Health,New David,To president suffer apply everybody go throw health quickly experience program upon.,19
497,PN000332,2023-02-19,67467.12,Approved,Health,Port Rhonda,Right couple half provide mission song election compare player production energy.,3
498,PN000117,2023-02-19,46187.11,Denied,Vehicle,Jordanburgh,Realize shoulder whether difference design fish here chance discuss tree song itself general.,22
499,PN000152,2023-01-18,48275.09,Approved,Vehicle,East Maryfort,Time member discuss design audience month identify someone individual major whole best cut day policy glass.,1
500,PN000489,2023-08-29,21308.84,Approved,Vehicle,Callahanburgh,Beyond whole chance their defense accept meet design drive much.,21
